Sad,feeling or showing sorrow
Confidence,the feeling or belief that one can have faith in or rely on someone or something
Whimsical,Unstable
Happy,Pleasant feeling
computer,an electronic device which is capable of receiving information (data) in a particular form and of performing a sequence of operations in accordance with a predetermined but variable set of procedural instructions (program) to produce a result in the form of information or signals.
Registry,The act of recording or writing in a register enrollment registration
Roarer,One who or that which roars
Disclosed,Represented with wings expanded applied to doves and other birds not of prey
Retain,To continue to hold to keep in possession not to lose part with or dismiss to restrain from departure escape or the like
Vortical,Of or pertaining to a vortex or vortexes resembling a vortex in form or motion whirling as a vortical motion
Ranty,Wild noisy boisterous
Condolence,Expression of sympathy with another in sorrow or grief
Indirectness,The quality or state of being indirect obliquity deviousness crookedness
Considerateness,kind and considerate regard for others consideration
Library,A considerable collection of books kept for use and not as merchandise as a private library a public library
Tomium,The cutting edge of the bill of a bird
Disensanity,Insanity folly
Lithium,A metallic element of the alkaline group occurring in several minerals as petalite spodumene lepidolite triphylite etc and otherwise widely disseminated though in small quantities
Dupery,The act or practice of duping
Reunite,To unite again to join after separation or variance
Inefficacy,Lack of power to produce the desired or proper effect inefficiency ineffectualness futility uselessness fruitlessness as the inefficacy of medicines or means
Donatory,A donee of the crown one the whom upon certain condition escheated property is made over
Violinist,A player on the violin
Bacciferous,Producing berries
Platin,See Platen
Crocoite,Lead chromate occuring in crystals of a bright hyacinth red color called also red lead ore
Ordinable,Capable of being ordained or appointed
Verbarfistuca,An instrument used by the ancients in driving piles
Tubulipore,Any one of numerous species of Bryozoa belonging to Tubulipora and allied genera having tubular calcareous calicles
Rhymeless,Destitute of rhyme
Curbless,Having no curb or restraint
Defensory,Tending to defend defensive as defensory preparations
Humoralist,One who favors the humoral pathology or believes in humoralism
Abruptness,The state of being abrupt or broken craggedness ruggedness steepness
Choir,A band or organized company of singers especially in church service
Voiced,Furnished with a voice expressed by the voice
Indiretin,A dark brown resinous substance obtained from indican
Titler,A large truncated cone of refined sugar
Thrombosis,The obstruction of a blood vessel by a clot formed at the site of obstruction distinguished from embolism which is produced by a clot or foreign body brought from a distance
Biorgan,A physiological organ a living organ an organ endowed with function distinguished from idorgan
Motograph,A device utilized in the making of a loud speaking telephone depending on the fact that the friction between a metallic point and a moving cylinder of moistened chalk or a moving slip of paper on which it rests is diminished by the passage of a current between the point and the moving surface
Theatricals,Dramatic performances especially those produced by amateurs
Estimably,In an estimable manner
Fleetings,A mixture of buttermilk and boiling whey curds
Pedomotive,Moved or worked by the action of the foot or feet on a pedal or treadle
Healthily,In a healthy manner
Coryanthes,a small genus of tropical American epiphytic or lithophytic orchids
Bashaw,A Turkish title of honor now written pasha See Pasha
Pessimism,The opinion or doctrine that everything in nature is ordered for or tends to the worst or that the world is wholly evil opposed to optimism
Overbreed,To breed to excess as the bulls were so huge and overbred no matador wanted to fight them
Dictionary,a book or electronic resource that lists the words of a language (typically in alphabetical order) and gives their meaning, or gives the equivalent words in a different language, often also providing information about pronunciation, origin, and usage.
Table,a piece of furniture with a flat top and one or more legs, providing a level surface for eating, writing, or working at.
Chair,a separate seat for one person, typically with a back and four legs.
Pub,an establishment for the sale of beer and other drinks, and sometimes also food, to be consumed on the premises.
Map,a diagrammatic representation of an area of land or sea showing physical features, cities, roads, etc.
Desktop,the working surface of a desk.
